予約ID,顧客ID,部屋番号,宿泊人数,チェックイン日,チェックアウト日,チェックイン時間,チェックアウト時間,宿泊プラン,予約経路,客層,シーズン区分
R00933,c0319,216,1,2025-04-07,2025-04-09,18:00,8:00,2食付き,OTA,遠征,GW繁忙期
R00934,c1032,211,2,2025-04-08,2025-04-11,17:00,10:00,素泊まり,OTA,観光,GW繁忙期
R00935,c1059,207,1,2025-04-08,2025-04-10,18:00,9:00,素泊まり,OTA,遠征,GW繁忙期
R00936,c0070,209,2,2025-04-08,2025-04-10,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R00937,c1850,203,1,2025-04-08,2025-04-09,18:00,9:00,素泊まり,OTA,遠征,GW繁忙期
R00938,c1263,206,2,2025-04-08,2025-04-09,16:00,9:00,朝食付き,OTA,観光,GW繁忙期
R00939,c0692,205,2,2025-04-08,2025-04-10,19:00,8:00,素泊まり,OTA,遠征,GW繁忙期
R00940,c1954,217,2,2025-04-08,2025-04-09,17:00,9:00,朝食付き,OTA,観光,GW繁忙期
R00941,c0286,101,1,2025-04-08,2025-04-09,16:00,9:00,2食付き,OTA,観光,GW繁忙期
R00942,c0709,214,2,2025-04-08,2025-04-09,18:00,9:00,朝食付き,直接,遠征,GW繁忙期
R00943,c0484,201,1,2025-04-08,2025-04-09,18:00,8:00,素泊まり,直接,遠征,GW繁忙期
R00944,c0965,210,2,2025-04-08,2025-04-09,19:00,8:00,素泊まり,OTA,遠征,GW繁忙期
R00945,c0794,212,1,2025-04-08,2025-04-10,16:00,10:00,素泊まり,OTA,登山,GW繁忙期
R00946,c0870,208,2,2025-04-08,2025-04-10,16:00,7:00,朝食付き,OTA,登山,GW繁忙期
R00947,c1573,202,1,2025-04-08,2025-04-11,17:00,9:00,素泊まり,OTA,観光,GW繁忙期
R00948,c0283,213,2,2025-04-08,2025-04-09,17:00,10:00,2食付き,OTA,観光,GW繁忙期
R00949,c0309,216,2,2025-04-08,2025-04-10,15:00,10:00,朝食付き,直接,観光,GW繁忙期
R00950,c0335,213,2,2025-04-09,2025-04-11,18:00,9:00,2食付き,OTA,遠征,GW繁忙期
R00951,c1767,203,2,2025-04-09,2025-04-11,18:00,9:00,朝食付き,直接,遠征,GW繁忙期
R00952,c1340,215,2,2025-04-09,2025-04-11,15:00,10:00,朝食付き,直接,観光,GW繁忙期
R00953,c0923,201,2,2025-04-09,2025-04-11,16:00,9:00,朝食付き,OTA,観光,GW繁忙期
R00954,c0786,205,1,2025-04-09,2025-04-11,18:00,8:00,2食付き,OTA,遠征,GW繁忙期
R00955,c1491,212,2,2025-04-09,2025-04-12,17:00,10:00,素泊まり,OTA,観光,GW繁忙期
R00956,c1228,214,2,2025-04-09,2025-04-10,18:00,9:00,素泊まり,直接,遠征,GW繁忙期
R00957,c0036,206,2,2025-04-09,2025-04-11,15:00,10:00,素泊まり,直接,観光,GW繁忙期
R00958,c0510,207,1,2025-04-09,2025-04-10,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R00959,c1991,210,2,2025-04-09,2025-04-12,15:00,10:00,朝食付き,直接,観光,GW繁忙期
R00960,c0079,209,1,2025-04-09,2025-04-12,17:00,10:00,素泊まり,直接,観光,GW繁忙期
R00961,c1900,216,2,2025-04-09,2025-04-10,19:00,10:00,2食付き,直接,遠征,GW繁忙期
R00962,c0239,202,1,2025-04-09,2025-04-12,16:00,9:00,2食付き,OTA,観光,GW繁忙期
R00963,c1916,208,2,2025-04-09,2025-04-10,17:00,10:00,素泊まり,直接,その他,GW繁忙期
R00964,c1864,217,1,2025-04-09,2025-04-10,19:00,10:00,朝食付き,OTA,遠征,GW繁忙期
R00965,c0563,101,2,2025-04-09,2025-04-11,15:00,9:00,朝食付き,OTA,観光,GW繁忙期
R00966,c0453,212,1,2025-04-10,2025-04-12,18:00,8:00,素泊まり,OTA,遠征,GW繁忙期
R00967,c0975,205,1,2025-04-10,2025-04-12,19:00,10:00,朝食付き,OTA,遠征,GW繁忙期
R00968,c1091,201,1,2025-04-10,2025-04-12,15:00,10:00,2食付き,OTA,観光,GW繁忙期
R00969,c0708,210,1,2025-04-10,2025-04-11,17:00,9:00,朝食付き,OTA,観光,GW繁忙期
R00970,c0958,207,1,2025-04-10,2025-04-11,19:00,10:00,素泊まり,直接,その他,GW繁忙期
R00971,c1994,211,2,2025-04-10,2025-04-12,19:00,9:00,2食付き,直接,遠征,GW繁忙期
R00972,c1741,202,1,2025-04-10,2025-04-11,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R00973,c1593,209,2,2025-04-10,2025-04-11,17:00,10:00,素泊まり,直接,観光,GW繁忙期
R00974,c0217,101,2,2025-04-10,2025-04-11,16:00,10:00,朝食付き,直接,観光,GW繁忙期
R00975,c1894,206,2,2025-04-10,2025-04-11,19:00,9:00,朝食付き,OTA,遠征,GW繁忙期
R00976,c0951,213,1,2025-04-10,2025-04-12,19:00,8:00,素泊まり,OTA,遠征,GW繁忙期
R00977,c1304,203,1,2025-04-10,2025-04-13,17:00,10:00,2食付き,OTA,観光,GW繁忙期
R00978,c1937,216,1,2025-04-10,2025-04-13,17:00,9:00,朝食付き,OTA,観光,GW繁忙期
R00979,c0047,214,2,2025-04-10,2025-04-13,17:00,10:00,朝食付き,OTA,観光,GW繁忙期
R00980,c0968,208,1,2025-04-10,2025-04-11,19:00,9:00,朝食付き,OTA,遠征,GW繁忙期
R00981,c0909,215,1,2025-04-10,2025-04-11,15:00,10:00,朝食付き,OTA,観光,GW繁忙期
R00982,c0502,213,2,2025-04-11,2025-04-12,21:00,10:00,素泊まり,OTA,その他,GW繁忙期
R00983,c1766,210,2,2025-04-11,2025-04-14,15:00,10:00,2食付き,OTA,観光,GW繁忙期
R00984,c1094,216,1,2025-04-11,2025-04-13,17:00,9:00,朝食付き,OTA,観光,GW繁忙期
R00985,c0082,217,2,2025-04-11,2025-04-12,19:00,9:00,2食付き,OTA,遠征,GW繁忙期
R00986,c1553,201,1,2025-04-11,2025-04-13,16:00,5:00,素泊まり,OTA,登山,GW繁忙期
R00987,c0431,205,2,2025-04-11,2025-04-14,16:00,9:00,2食付き,OTA,観光,GW繁忙期
R00988,c0533,202,2,2025-04-11,2025-04-12,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R00989,c1560,212,1,2025-04-11,2025-04-13,17:00,10:00,朝食付き,OTA,観光,GW繁忙期
R00990,c1467,209,1,2025-04-11,2025-04-12,16:00,10:00,朝食付き,直接,観光,GW繁忙期
R00991,c0264,207,1,2025-04-11,2025-04-14,16:00,10:00,素泊まり,OTA,観光,GW繁忙期
R00992,c0304,208,1,2025-04-11,2025-04-13,18:00,8:00,2食付き,OTA,遠征,GW繁忙期
R00993,c1319,101,1,2025-04-11,2025-04-13,19:00,10:00,2食付き,OTA,遠征,GW繁忙期
R00994,c0988,211,1,2025-04-11,2025-04-13,19:00,9:00,朝食付き,OTA,遠征,GW繁忙期
R00995,c0308,203,2,2025-04-11,2025-04-14,15:00,10:00,素泊まり,直接,観光,GW繁忙期
R00996,c1308,206,1,2025-04-11,2025-04-12,18:00,9:00,素泊まり,OTA,遠征,GW繁忙期
R00997,c0203,215,2,2025-04-11,2025-04-12,18:00,9:00,朝食付き,OTA,遠征,GW繁忙期
R00998,c1161,214,1,2025-04-11,2025-04-14,17:00,9:00,2食付き,直接,観光,GW繁忙期
R00999,c0083,207,2,2025-04-12,2025-04-13,18:00,8:00,朝食付き,OTA,遠征,GW繁忙期
R01000,c0621,217,1,2025-04-12,2025-04-13,17:00,9:00,2食付き,直接,観光,GW繁忙期
R01001,c0105,215,2,2025-04-12,2025-04-15,16:00,10:00,素泊まり,OTA,観光,GW繁忙期
R01002,c1111,211,1,2025-04-12,2025-04-14,15:00,10:00,素泊まり,直接,観光,GW繁忙期
R01003,c1816,205,2,2025-04-12,2025-04-13,17:00,10:00,2食付き,直接,観光,GW繁忙期
R01004,c0834,214,2,2025-04-12,2025-04-15,17:00,10:00,2食付き,直接,観光,GW繁忙期
R01005,c1777,201,1,2025-04-12,2025-04-15,16:00,10:00,2食付き,直接,観光,GW繁忙期
R01006,c0999,202,1,2025-04-12,2025-04-14,19:00,8:00,2食付き,OTA,遠征,GW繁忙期
R01007,c1379,209,2,2025-04-12,2025-04-13,20:00,9:00,素泊まり,直接,その他,GW繁忙期
R01008,c0437,101,2,2025-04-12,2025-04-14,18:00,8:00,朝食付き,OTA,遠征,GW繁忙期
R01009,c0431,213,1,2025-04-12,2025-04-15,16:00,9:00,朝食付き,OTA,観光,GW繁忙期
R01010,c1960,216,2,2025-04-12,2025-04-14,15:00,9:00,朝食付き,直接,観光,GW繁忙期
R01011,c0622,210,2,2025-04-12,2025-04-14,18:00,9:00,素泊まり,OTA,遠征,GW繁忙期
R01012,c0806,212,2,2025-04-12,2025-04-14,17:00,10:00,,OTA,観光,GW繁忙期
R01013,c0936,208,2,2025-04-12,2025-04-13,16:00,7:00,,直接,登山,GW繁忙期
R01014,c0876,203,2,2025-04-12,2025-04-13,19:00,9:00,2食付き,直接,遠征,GW繁忙期
R01015,c0219,206,1,2025-04-12,2025-04-13,18:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01016,c1600,211,2,2025-04-13,2025-04-15,17:00,10:00,2食付き,OTA,観光,GW繁忙期
R01017,c0122,208,1,2025-04-13,2025-04-15,15:00,7:00,2食付き,OTA,登山,GW繁忙期
R01018,c0276,214,1,2025-04-13,2025-04-16,16:00,10:00,2食付き,直接,観光,GW繁忙期
R01019,c1151,217,1,2025-04-13,2025-04-15,18:00,8:00,朝食付き,OTA,遠征,GW繁忙期
R01020,c1413,205,1,2025-04-13,2025-04-16,17:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01021,c0658,203,2,2025-04-13,2025-04-15,19:00,9:00,朝食付き,OTA,遠征,GW繁忙期
R01022,c0048,209,1,2025-04-13,2025-04-14,17:00,10:00,素泊まり,OTA,観光,GW繁忙期
R01023,c1050,207,2,2025-04-13,2025-04-15,16:00,9:00,,直接,観光,GW繁忙期
R01024,c1178,216,2,2025-04-13,2025-04-14,17:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01025,c1744,215,1,2025-04-13,2025-04-14,18:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01026,c0925,210,1,2025-04-13,2025-04-14,18:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01027,c1515,101,2,2025-04-13,2025-04-16,17:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01028,c0875,201,1,2025-04-13,2025-04-15,15:00,10:00,素泊まり,直接,観光,GW繁忙期
R01029,c1683,202,2,2025-04-13,2025-04-16,16:00,10:00,朝食付き,直接,観光,GW繁忙期
R01030,c0054,208,1,2025-04-14,2025-04-15,18:00,8:00,素泊まり,直接,遠征,GW繁忙期
R01031,c0414,209,2,2025-04-14,2025-04-15,19:00,9:00,2食付き,OTA,遠征,GW繁忙期
R01032,c1935,205,2,2025-04-14,2025-04-15,18:00,10:00,素泊まり,OTA,その他,GW繁忙期
R01033,c0101,215,2,2025-04-14,2025-04-15,16:00,10:00,朝食付き,直接,登山,GW繁忙期
R01034,c1871,216,1,2025-04-14,2025-04-16,17:00,9:00,素泊まり,直接,観光,GW繁忙期
R01035,c0392,212,1,2025-04-14,2025-04-16,17:00,10:00,朝食付き,直接,観光,GW繁忙期
R01036,c0034,206,1,2025-04-14,2025-04-16,19:00,9:00,素泊まり,OTA,遠征,GW繁忙期
R01037,c0890,211,2,2025-04-14,2025-04-15,16:00,10:00,2食付き,OTA,観光,GW繁忙期
R01038,c1326,210,2,2025-04-14,2025-04-16,19:00,8:00,2食付き,OTA,遠征,GW繁忙期
R01039,c0963,217,1,2025-04-14,2025-04-15,18:00,8:00,素泊まり,直接,遠征,GW繁忙期
R01040,c0354,201,1,2025-04-14,2025-04-16,19:00,10:00,素泊まり,直接,遠征,GW繁忙期
R01041,c0418,213,2,2025-04-14,2025-04-15,19:00,9:00,素泊まり,直接,その他,GW繁忙期
R01042,c0059,203,2,2025-04-14,2025-04-16,17:00,10:00,素泊まり,直接,観光,GW繁忙期
R01043,c1076,214,1,2025-04-14,2025-04-16,18:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01044,c0975,101,2,2025-04-14,2025-04-15,15:00,10:00,2食付き,直接,観光,GW繁忙期
R01045,c0976,207,2,2025-04-14,2025-04-16,18:00,10:00,朝食付き,直接,遠征,GW繁忙期
R01046,c0198,101,2,2025-04-15,2025-04-17,17:00,10:00,2食付き,OTA,観光,GW繁忙期
R01047,c0293,208,1,2025-04-15,2025-04-16,18:00,8:00,素泊まり,OTA,遠征,GW繁忙期
R01048,c0379,201,2,2025-04-15,2025-04-17,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01049,c1187,216,1,2025-04-15,2025-04-16,18:00,10:00,素泊まり,直接,その他,GW繁忙期
R01050,c1711,206,1,2025-04-15,2025-04-16,18:00,8:00,素泊まり,OTA,遠征,GW繁忙期
R01051,c1781,217,2,2025-04-15,2025-04-18,16:00,10:00,2食付き,直接,観光,GW繁忙期
R01052,c1574,203,2,2025-04-15,2025-04-18,16:00,10:00,素泊まり,直接,観光,GW繁忙期
R01053,c0198,211,2,2025-04-15,2025-04-17,19:00,9:00,朝食付き,OTA,遠征,GW繁忙期
R01054,c0466,214,2,2025-04-15,2025-04-17,16:00,9:00,2食付き,直接,観光,GW繁忙期
R01055,c0894,205,1,2025-04-15,2025-04-18,16:00,9:00,2食付き,直接,観光,GW繁忙期
R01056,c1590,213,1,2025-04-15,2025-04-16,20:00,9:00,素泊まり,直接,その他,GW繁忙期
R01057,c1940,209,1,2025-04-15,2025-04-16,18:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01058,c0312,207,2,2025-04-15,2025-04-16,17:00,9:00,2食付き,OTA,観光,GW繁忙期
R01059,c1831,210,2,2025-04-15,2025-04-17,16:00,10:00,2食付き,OTA,観光,GW繁忙期
R01060,c0639,215,1,2025-04-15,2025-04-17,15:00,9:00,素泊まり,OTA,観光,GW繁忙期
R01061,c0329,202,1,2025-04-15,2025-04-16,18:00,9:00,素泊まり,OTA,遠征,GW繁忙期
R01062,c0464,214,2,2025-04-16,2025-04-18,16:00,9:00,素泊まり,直接,観光,GW繁忙期
R01063,c0565,215,2,2025-04-16,2025-04-19,17:00,9:00,,直接,観光,GW繁忙期
R01064,c0476,206,2,2025-04-16,2025-04-18,17:00,9:00,朝食付き,OTA,観光,GW繁忙期
R01065,c1545,210,2,2025-04-16,2025-04-19,17:00,10:00,素泊まり,OTA,観光,GW繁忙期
R01066,c1199,101,1,2025-04-16,2025-04-17,16:00,7:00,素泊まり,OTA,登山,GW繁忙期
R01067,c1499,216,2,2025-04-16,2025-04-18,19:00,8:00,素泊まり,直接,遠征,GW繁忙期
R01068,c1577,207,2,2025-04-16,2025-04-18,19:00,9:00,素泊まり,直接,遠征,GW繁忙期
R01069,c0731,217,1,2025-04-16,2025-04-18,19:00,9:00,,OTA,遠征,GW繁忙期
R01070,c1364,201,2,2025-04-16,2025-04-18,18:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01071,c0784,209,1,2025-04-16,2025-04-18,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01072,c1189,203,2,2025-04-16,2025-04-17,18:00,8:00,2食付き,OTA,遠征,GW繁忙期
R01073,c1175,208,1,2025-04-16,2025-04-17,19:00,10:00,朝食付き,OTA,遠征,GW繁忙期
R01074,c1938,212,2,2025-04-16,2025-04-18,18:00,8:00,朝食付き,直接,遠征,GW繁忙期
R01075,c1677,205,2,2025-04-16,2025-04-17,17:00,8:00,朝食付き,直接,登山,GW繁忙期
R01076,c1301,213,2,2025-04-16,2025-04-17,20:00,9:00,素泊まり,直接,その他,GW繁忙期
R01077,c1600,202,1,2025-04-16,2025-04-19,17:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01078,c1979,202,1,2025-04-17,2025-04-19,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01079,c0382,203,2,2025-04-17,2025-04-20,15:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01080,c1546,210,1,2025-04-17,2025-04-19,19:00,9:00,朝食付き,OTA,遠征,GW繁忙期
R01081,c1148,211,2,2025-04-17,2025-04-18,15:00,10:00,2食付き,OTA,観光,GW繁忙期
R01082,c1874,101,2,2025-04-17,2025-04-19,18:00,8:00,素泊まり,OTA,遠征,GW繁忙期
R01083,c0213,205,2,2025-04-17,2025-04-19,17:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01084,c0318,212,2,2025-04-17,2025-04-18,18:00,10:00,,直接,その他,GW繁忙期
R01085,c1663,208,1,2025-04-17,2025-04-20,15:00,9:00,2食付き,OTA,観光,GW繁忙期
R01086,c1129,216,1,2025-04-17,2025-04-18,17:00,10:00,2食付き,OTA,観光,GW繁忙期
R01087,c0746,215,2,2025-04-17,2025-04-19,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01088,c0659,206,1,2025-04-17,2025-04-18,16:00,10:00,素泊まり,OTA,観光,GW繁忙期
R01089,c1238,214,1,2025-04-17,2025-04-18,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01090,c1268,207,2,2025-04-17,2025-04-18,19:00,9:00,朝食付き,直接,遠征,GW繁忙期
R01091,c0712,217,2,2025-04-17,2025-04-18,15:00,10:00,朝食付き,直接,観光,GW繁忙期
R01092,c0517,201,1,2025-04-17,2025-04-20,16:00,9:00,2食付き,直接,観光,GW繁忙期
R01093,c1428,209,2,2025-04-17,2025-04-18,19:00,8:00,朝食付き,OTA,遠征,GW繁忙期
R01094,c1767,216,1,2025-04-18,2025-04-20,18:00,10:00,2食付き,OTA,遠征,GW繁忙期
R01095,c0131,201,2,2025-04-18,2025-04-20,17:00,9:00,朝食付き,直接,観光,GW繁忙期
R01096,c1493,208,1,2025-04-18,2025-04-19,18:00,8:00,素泊まり,OTA,遠征,GW繁忙期
R01097,c0972,215,1,2025-04-18,2025-04-20,17:00,10:00,2食付き,直接,観光,GW繁忙期
R01098,c1024,205,1,2025-04-18,2025-04-20,16:00,9:00,朝食付き,OTA,観光,GW繁忙期
R01099,c1073,206,2,2025-04-18,2025-04-19,16:00,9:00,,OTA,観光,GW繁忙期
R01100,c1084,101,1,2025-04-18,2025-04-19,19:00,8:00,,OTA,遠征,GW繁忙期
R01101,c0387,207,2,2025-04-18,2025-04-19,17:00,10:00,2食付き,OTA,観光,GW繁忙期
R01102,c1826,214,2,2025-04-18,2025-04-20,15:00,9:00,朝食付き,OTA,観光,GW繁忙期
R01103,c1101,211,1,2025-04-18,2025-04-19,18:00,9:00,素泊まり,直接,遠征,GW繁忙期
R01104,c0343,210,1,2025-04-18,2025-04-20,15:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01105,c0918,212,1,2025-04-18,2025-04-20,19:00,10:00,朝食付き,OTA,遠征,GW繁忙期
R01106,c0386,202,2,2025-04-18,2025-04-19,16:00,9:00,素泊まり,OTA,観光,GW繁忙期
R01107,c1342,213,2,2025-04-18,2025-04-20,17:00,9:00,2食付き,直接,観光,GW繁忙期
R01108,c0406,209,2,2025-04-18,2025-04-20,18:00,9:00,素泊まり,OTA,遠征,GW繁忙期
R01109,c0659,217,2,2025-04-18,2025-04-20,16:00,9:00,朝食付き,OTA,観光,GW繁忙期
R01110,c1940,203,1,2025-04-18,2025-04-20,17:00,9:00,朝食付き,直接,観光,GW繁忙期
R01111,c1980,205,2,2025-04-19,2025-04-20,19:00,10:00,素泊まり,直接,遠征,GW繁忙期
R01112,c0366,202,2,2025-04-19,2025-04-22,15:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01113,c1460,207,2,2025-04-19,2025-04-20,15:00,10:00,2食付き,OTA,観光,GW繁忙期
R01114,c1844,217,1,2025-04-19,2025-04-20,17:00,9:00,素泊まり,直接,観光,GW繁忙期
R01115,c1693,201,1,2025-04-19,2025-04-20,17:00,10:00,2食付き,OTA,観光,GW繁忙期
R01116,c0529,101,2,2025-04-19,2025-04-20,18:00,8:00,朝食付き,OTA,遠征,GW繁忙期
R01117,c1414,214,1,2025-04-19,2025-04-21,18:00,10:00,朝食付き,OTA,遠征,GW繁忙期
R01118,c1419,208,2,2025-04-19,2025-04-21,15:00,10:00,素泊まり,直接,観光,GW繁忙期
R01119,c1848,215,2,2025-04-19,2025-04-20,18:00,8:00,朝食付き,直接,遠征,GW繁忙期
R01120,c0584,212,2,2025-04-19,2025-04-20,19:00,10:00,朝食付き,OTA,遠征,GW繁忙期
R01121,c1947,210,1,2025-04-19,2025-04-20,18:00,9:00,2食付き,OTA,遠征,GW繁忙期
R01122,c0078,213,2,2025-04-19,2025-04-20,18:00,9:00,素泊まり,直接,遠征,GW繁忙期
R01123,c0293,211,2,2025-04-19,2025-04-20,18:00,9:00,朝食付き,OTA,遠征,GW繁忙期
R01124,c0030,209,1,2025-04-19,2025-04-22,15:00,9:00,朝食付き,直接,観光,GW繁忙期
R01125,c0802,206,2,2025-04-19,2025-04-20,19:00,10:00,素泊まり,直接,その他,GW繁忙期
R01126,c1477,203,2,2025-04-19,2025-04-20,15:00,9:00,,直接,観光,GW繁忙期
R01127,c1975,216,2,2025-04-19,2025-04-20,17:00,10:00,朝食付き,直接,観光,GW繁忙期
R01128,c0659,209,2,2025-04-20,2025-04-22,18:00,10:00,朝食付き,OTA,遠征,GW繁忙期
R01129,c0794,211,1,2025-04-20,2025-04-21,15:00,8:00,素泊まり,直接,登山,GW繁忙期
R01130,c1920,206,2,2025-04-20,2025-04-21,18:00,8:00,朝食付き,OTA,遠征,GW繁忙期
R01131,c1304,213,2,2025-04-20,2025-04-22,18:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01132,c0358,214,2,2025-04-20,2025-04-22,19:00,8:00,素泊まり,OTA,遠征,GW繁忙期
R01133,c0942,210,2,2025-04-20,2025-04-22,18:00,9:00,朝食付き,直接,遠征,GW繁忙期
R01134,c1929,212,2,2025-04-20,2025-04-21,19:00,8:00,2食付き,OTA,遠征,GW繁忙期
R01135,c0692,207,2,2025-04-20,2025-04-23,16:00,10:00,2食付き,OTA,観光,GW繁忙期
R01136,c0399,205,2,2025-04-20,2025-04-23,15:00,9:00,素泊まり,直接,観光,GW繁忙期
R01137,c0964,217,1,2025-04-20,2025-04-22,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01138,c0321,208,2,2025-04-20,2025-04-22,18:00,8:00,素泊まり,OTA,遠征,GW繁忙期
R01139,c0560,216,1,2025-04-20,2025-04-22,15:00,9:00,朝食付き,OTA,観光,GW繁忙期
R01140,c1513,101,1,2025-04-20,2025-04-21,18:00,9:00,素泊まり,OTA,遠征,GW繁忙期
R01141,c1766,215,1,2025-04-20,2025-04-21,18:00,8:00,素泊まり,直接,遠征,GW繁忙期
R01142,c0136,212,2,2025-04-21,2025-04-23,15:00,9:00,2食付き,直接,観光,GW繁忙期
R01143,c0208,206,1,2025-04-21,2025-04-23,16:00,10:00,朝食付き,直接,観光,GW繁忙期
R01144,c0962,207,2,2025-04-21,2025-04-23,15:00,10:00,素泊まり,OTA,観光,GW繁忙期
R01145,c0081,216,1,2025-04-21,2025-04-22,17:00,6:00,2食付き,直接,登山,GW繁忙期
R01146,c0743,213,2,2025-04-21,2025-04-23,18:00,8:00,朝食付き,OTA,遠征,GW繁忙期
R01147,c1816,214,2,2025-04-21,2025-04-22,16:00,10:00,2食付き,OTA,観光,GW繁忙期
R01148,c1915,203,1,2025-04-21,2025-04-23,17:00,10:00,2食付き,直接,観光,GW繁忙期
R01149,c0033,205,2,2025-04-21,2025-04-24,15:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01150,c0049,101,2,2025-04-21,2025-04-23,15:00,10:00,2食付き,OTA,観光,GW繁忙期
R01151,c0692,210,1,2025-04-21,2025-04-24,15:00,10:00,素泊まり,OTA,観光,GW繁忙期
R01152,c1898,217,1,2025-04-21,2025-04-22,17:00,10:00,素泊まり,直接,その他,GW繁忙期
R01153,c1377,208,2,2025-04-21,2025-04-23,15:00,10:00,朝食付き,直接,観光,GW繁忙期
R01154,c0710,211,2,2025-04-21,2025-04-24,16:00,10:00,朝食付き,直接,観光,GW繁忙期
R01155,c1365,202,2,2025-04-21,2025-04-23,18:00,9:00,2食付き,直接,遠征,GW繁忙期
R01156,c0134,209,1,2025-04-21,2025-04-22,18:00,8:00,素泊まり,直接,遠征,GW繁忙期
R01157,c0699,201,1,2025-04-21,2025-04-22,15:00,9:00,朝食付き,OTA,観光,GW繁忙期
R01158,c1443,216,1,2025-04-22,2025-04-24,19:00,10:00,素泊まり,直接,遠征,GW繁忙期
R01159,c0887,203,1,2025-04-22,2025-04-23,18:00,8:00,朝食付き,直接,遠征,GW繁忙期
R01160,c0405,215,2,2025-04-22,2025-04-24,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01161,c0163,210,1,2025-04-22,2025-04-24,17:00,9:00,朝食付き,OTA,観光,GW繁忙期
R01162,c0156,208,1,2025-04-22,2025-04-25,17:00,9:00,朝食付き,OTA,観光,GW繁忙期
R01163,c1232,212,2,2025-04-22,2025-04-23,15:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01164,c1342,206,2,2025-04-22,2025-04-24,16:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01165,c1270,205,2,2025-04-22,2025-04-23,15:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01166,c1580,209,2,2025-04-22,2025-04-24,18:00,10:00,朝食付き,OTA,遠征,GW繁忙期
R01167,c1521,211,2,2025-04-22,2025-04-23,19:00,10:00,2食付き,OTA,遠征,GW繁忙期
R01168,c1415,101,2,2025-04-22,2025-04-24,16:00,9:00,素泊まり,直接,観光,GW繁忙期
R01169,c0313,213,1,2025-04-22,2025-04-24,19:00,9:00,2食付き,OTA,遠征,GW繁忙期
R01170,c0306,201,2,2025-04-22,2025-04-23,15:00,10:00,朝食付き,OTA,観光,GW繁忙期
R01171,c0195,202,1,2025-04-22,2025-04-25,15:00,9:00,朝食付き,直接,観光,GW繁忙期
R01172,c1700,217,2,2025-04-22,2025-04-24,15:00,9:00,朝食付き,直接,観光,GW繁忙期
R01173,c1985,214,1,2025-04-22,2025-04-24,19:00,9:00,2食付き,直接,遠征,GW繁忙期
R01174,c1063,203,2,2025-04-23,2025-04-25,17:00,10:00,朝食付き,直接,観光,GW繁忙期
R01175,c1267,202,2,2025-04-23,2025-04-24,16:00,9:00,朝食付き,直接,観光,GW繁忙期
R01176,c0263,211,2,2025-04-23,2025-04-25,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01177,c0669,214,1,2025-04-23,2025-04-24,19:00,9:00,素泊まり,OTA,遠征,GW繁忙期
R01178,c1431,201,1,2025-04-23,2025-04-25,16:00,9:00,素泊まり,OTA,登山,GW繁忙期
R01179,c1154,212,2,2025-04-23,2025-04-24,21:00,9:00,素泊まり,直接,その他,GW繁忙期
R01180,c1006,206,2,2025-04-23,2025-04-24,16:00,9:00,朝食付き,直接,観光,GW繁忙期
R01181,c1577,217,2,2025-04-23,2025-04-25,18:00,9:00,素泊まり,直接,遠征,GW繁忙期
R01182,c0730,210,2,2025-04-23,2025-04-24,16:00,9:00,素泊まり,直接,観光,GW繁忙期
R01183,c1688,101,1,2025-04-23,2025-04-25,19:00,9:00,朝食付き,OTA,遠征,GW繁忙期
R01184,c1073,207,2,2025-04-23,2025-04-24,19:00,10:00,素泊まり,OTA,遠征,GW繁忙期
R01185,c0052,213,1,2025-04-23,2025-04-26,15:00,10:00,素泊まり,直接,観光,GW繁忙期
R01186,c0915,215,2,2025-04-23,2025-04-24,19:00,9:00,朝食付き,OTA,遠征,GW繁忙期
